timestamp,rule.description,rule.level,data.srcip,data.srcport,full_log,GeoLocation.country_name,GeoLocation.city_name,GeoLocation.location
"Mar 13, 2025 @ 21:54:09.518","sshd: authentication failed.","5","187.87.144.226","59724","Mar 13 21:54:09 regvision-wordpress sshd[31228]: Failed password for redis from 187.87.144.226 port 59724 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:54:09.518","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:54:08 regvision-wordpress sshd[31232]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174",,,
"Mar 13, 2025 @ 21:54:09.506","sshd: Attempt to login using a non-existent user","5","157.66.218.174","45190","Mar 13 21:54:08 regvision-wordpress sshd[31232]: Invalid user max from 157.66.218.174 port 45190",,,
"Mar 13, 2025 @ 21:54:07.506","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:54:06 regvision-wordpress sshd[31228]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=redis","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:53:59.501","sshd: Attempt to login using a non-existent user","5","64.227.78.79",,"Mar 13 21:53:58 regvision-wordpress sshd[31229]: Failed password for invalid user zhaopeng from 64.227.78.79 port 49240 ssh2","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 21:53:57.554","PAM: User login failed.","5","64.227.78.79",,"Mar 13 21:53:57 regvision-wordpress sshd[31229]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=64.227.78.79","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 21:53:57.501","sshd: Attempt to login using a non-existent user","5","64.227.78.79","49240","Mar 13 21:53:57 regvision-wordpress sshd[31229]: Invalid user zhaopeng from 64.227.78.79 port 49240","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 21:53:49.494","sshd: authentication failed.","5","103.38.182.49","55214","Mar 13 21:53:48 regvision-wordpress sshd[31226]: Failed password for root from 103.38.182.49 port 55214 ssh2",,,
"Mar 13, 2025 @ 21:53:47.504","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:53:46 regvision-wordpress sshd[31226]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49  user=root",,,
"Mar 13, 2025 @ 21:53:39.495","sshd: Attempt to login using a non-existent user","5","54.37.10.124","34612","Mar 13 21:53:38 regvision-wordpress sshd[31221]: Disconnected from invalid user thomas 54.37.10.124 port 34612 [preauth]","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:53:39.483","sshd: Attempt to login using a non-existent user","5","54.37.10.124",,"Mar 13 21:53:38 regvision-wordpress sshd[31221]: Failed password for invalid user thomas from 54.37.10.124 port 34612 ssh2","France",,{"lon":2.3387,"lat":48.8582}
